MoveToTarget_drive_10571000          @10571000  -> 24 fns
MoveToPos_alt_1056e6d0               @1056e6d0  -> 21 fns
RotateOrientation_alt_105736a0       @105736a0  -> 8 fns
RotateToTarget_alt                   @10579740  -> 1 fns
DistanceCheck_Evaluate               @105f6ba0  -> 21 fns
AnimSequencePlay_Evaluate            @10554370  -> 46 fns
nodeInit_vtbl0_103d8a40              @103d8a40  -> 8 fns
nodeVtbl1_103d8b60                   @103d8b60  -> 1 fns
nodeVtbl2_103dca70                   @103dca70  -> 1 fns
nodeVtbl3_103dc9e0                   @103dc9e0  -> 1 fns
nodeVtbl9_103dc830                   @103dc830  -> 1 fns
readVec3_10552e20                    @10552e20  -> 5 fns
writeVec3_10551270                   @10551270  -> 6 fns
readFloat_10552dd0                   @10552dd0  -> 6 fns
readBool_103d9e70                    @103d9e70  -> 4 fns
writeBool_103db9b0                   @103db9b0  -> 9 fns
write_105595d0                       @105595d0  -> 5 fns
read_10553c60                        @10553c60  -> 8 fns
read_10551c20                        @10551c20  -> 5 fns
read_1055aad0                        @1055aad0  -> 6 fns
resolveBB_103c92b0                   @103c92b0  -> 20 fns
cast_101c36a0                        @101c36a0  -> 15 fns
cast_101c3720                        @101c3720  -> 14 fns
cast_101c4430                        @101c4430  -> 7 fns
