#cmd	hex	consumed	handlerMapFn	gameListenerCb	gameListenerInvoke	genListener
1	0x1	YES	-	0x10551860	0x10604af0	0x10615c50
2	0x2	YES	-	0x10551a20	0x10604b50,0x111afbc0,0x1123c260	0x10615cb0
3	0x3	YES	-	0x10551be0,0x10925b50	0x10604bb0,0x10928e40	0x10615d10
4	0x4	YES	-	0x1050b580,0x10551de0,0x107e4e90,0x108341d0,0x1083b280,0x108a04a0,0x108d2a00,0x1090bf90,0x10925b40,0x10930e80,0x10972ef0,0x109c2460,0x10d18650,0x1123c040	0x1050df00,0x10604c10,0x107e95c0,0x1083a8c0,0x1083b9b0,0x108a0bb0,0x108e0520,0x10910880,0x10928de0,0x1093bb50,0x10974290,0x109c4ae0,0x10d1a680,0x1123c1e0	0x10615d70
5	0x5	YES	-	0x10551fa0	0x10604c70	0x10615dd0
6	0x6	YES	-	0x10552120	0x10604cd0	0x10615e30
7	0x7	YES	-	0x105522c0,0x10d18690	0x10604d30,0x10d1a660	0x10615e90
8	0x8	YES	-	0x10552470	0x10604d90,0x110af9b0	0x10615ef0
9	0x9	YES	-	0x105525f0	0x10604df0	0x10615f50
10	0xa	YES	-	0x10552870	0x10604e50	0x10615fb0
11	0xb	YES	-	0x10552a10,0x105a1b10	0x10604eb0,0x10616010	-
12	0xc	YES	-	0x10552bb0,0x105a1c40	0x10604f10,0x10616070	-
13	0xd	YES	-	0x10552d70,0x105a1d40,0x1123b570	0x10604f70,0x106160d0,0x1123b890	-
14	0xe	YES	-	0x10552ef0,0x105a1ed0,0x1123c0c0	0x10604fd0,0x10616130,0x1123b930,0x1123c240	-
15	0xf	YES	-	0x10553070,0x105a1fd0	0x10605030,0x10616190,0x1123b950	-
16	0x10	YES	-	0x105531f0,0x105a20d0,0x1123b600	0x10605090,0x106161f0,0x1123b8d0	-
17	0x11	YES	-	0x105533f0,0x105a2200	0x106050f0,0x10616250,0x1123b8f0	-
18	0x12	YES	-	0x105535b0,0x105a2300,0x1123b6b0	0x10605150,0x106162b0,0x1123b910	-
19	0x13	YES	-	0x10553790,0x105a2400,0x1123b5e0	0x106051b0,0x10616310,0x1123b8b0	-
20	0x14	YES	-	0x10553950,0x105a2500	0x10605210,0x10616370	-
21	0x15	YES	-	0x10553af0,0x105a2690	0x10605270,0x106163d0	-
22	0x16	YES	-	0x10553c90,0x105a2840	0x106052d0,0x10616430	-
23	0x17	YES	-	0x1050b690,0x10553e30,0x105a29f0,0x10b5b350	0x1050df60,0x10605330,0x10616490,0x10b5b950	-
24	0x18	YES	-	0x10553fd0,0x105a2af0	0x10605390,0x106164f0	-
25	0x19	YES	-	0x10554150,0x105a2bf0	0x106053f0,0x10616550	-
26	0x1a	YES	-	0x105548b0,0x105a2d20	0x10605450,0x106165b0	-
27	0x1b	YES	-	0x10554a90,0x105a2e40,0x10839570	0x106054b0,0x10616610,0x1083a860	-
28	0x1c	YES	-	0x10554c30,0x105a2f60,0x10855489	0x10605510,0x10616670,0x10854980	-
29	0x1d	YES	-	0x10554dd0,0x105a3090,0x10855498	0x10605570,0x106166d0,0x108549e0	-
30	0x1e	YES	-	0x10554ff0,0x105a3190,0x108554a7	0x106055d0,0x10616730,0x10854a40	-
31	0x1f	YES	-	0x105551d0,0x105a3290,0x1085547f	0x10605630,0x10616790,0x10854aa0	-
32	0x20	YES	-	0x10555390,0x105a3390,0x10b5b3b0	0x10605690,0x106167f0,0x10b5b970	-
33	0x21	YES	-	0x105556d0,0x105a3510	0x106056f0,0x10616850	-
34	0x22	YES	-	0x105a3670,0x1080c0d0	0x106168b0,0x1080f770	-
35	0x23	YES	-	0x10555850,0x105a37d0	0x10605750,0x10616910	-
36	0x24	YES	-	0x10555b40,0x105a3a60	0x106057b0,0x10616970	-
37	0x25	YES	-	0x10555c80,0x105a3b90	0x10605810,0x106169d0	-
38	0x26	YES	-	0x10555e90,0x105a3c90	0x10605870,0x10616a30	-
39	0x27	YES	-	0x105561b0,0x105a3d90,0x1085548e,0x1123c0b0	0x106058d0,0x10616a90,0x10854b00,0x1123c220	-
40	0x28	YES	-	0x105564c0,0x105a3e90	0x10605930,0x10616af0	-
41	0x29	YES	-	0x10556880,0x105a3fc0,0x10899810	0x10605990,0x10616b50,0x1089a290	-
42	0x2a	YES	-	0x10556bf0,0x105a4120,0x10899830	0x106059f0,0x10616bb0,0x1089a2f0	-
43	0x2b	YES	-	0x10556e00,0x105a4280,0x10e21956	0x10605a50,0x10616c10,0x10e2a3c0	-
44	0x2c	YES	-	0x10556f80,0x105a43e0	0x10605ab0,0x10616c70	-
45	0x2d	YES	-	0x10557230,0x105a4590	0x10605b10,0x10616cd0	-
46	0x2e	YES	-	0x10557470,0x105a4690,0x1123c0d0	0x10605b70,0x10616d30,0x1123c200	-
47	0x2f	YES	-	0x10557640,0x105a4790	0x10605bd0,0x10616d90	-
48	0x30	YES	-	0x105578c0,0x105a48f0	0x10605c30,0x10616df0	-
49	0x31	YES	-	0x10557ac0,0x105a4a80	0x10605c90,0x10616e50	-
50	0x32	YES	-	0x10557c80,0x105a4bb0,0x10924660	0x10605cf0,0x10616eb0,0x10928d80	-
51	0x33	YES	-	0x10557e40,0x105a4ce0	0x10605d50,0x10616f10	-
52	0x34	YES	-	0x10558000,0x105a4de0	0x10605db0,0x10616f70	-
53	0x35	YES	-	0x10558180,0x105a4f40	0x10605e10,0x10616fd0	-
54	0x36	YES	-	0x10558350,0x105a50d0	0x10605e70,0x10617030	-
55	0x37	YES	-	0x10558720,0x105a52a0	0x10605ed0,0x10617090	-
56	0x38	YES	-	0x10558aa0,0x105a53d0	0x10605f30,0x106170f0	-
57	0x39	YES	-	0x10558c20,0x105a5500	0x10605f90,0x10617150	-
58	0x3a	YES	-	0x10558e00,0x105a5630,0x1080c0f0,0x10a08c80	0x10605ff0,0x106171b0,0x1080f7d0,0x10a0ec40	-
59	0x3b	YES	-	0x10558fa0,0x105a5790,0x10a08e00,0x10e21956	0x10606050,0x10617210,0x10a0eca0,0x10e2a3e0	-
60	0x3c	YES	-	0x105592d0,0x105a58f0	0x106060b0,0x10617270	-
61	0x3d	YES	-	0x105594e0,0x105a5a60	0x10606110,0x106172d0	-
62	0x3e	YES	-	0x10530d70,0x105596c0,0x105a5b90	0x1053e670,0x10606170,0x10617330	-
63	0x3f	YES	-	0x10559880,0x105a5cf0	0x106061d0,0x10617390	-
64	0x40	YES	-	0x10559c10,0x105a5e50	0x10606230,0x106173f0	-
65	0x41	YES	-	0x10559d50,0x105a6120	0x10606290,0x10617450	-
66	0x42	YES	-	0x10559f40,0x105a6220	0x106062f0,0x106174b0	-
67	0x43	YES	-	0x1055a0c0,0x105a6320	0x10606350,0x10617510	-
68	0x44	YES	-	0x1055a300,0x105a6420	0x106063b0,0x10617570	-
69	0x45	YES	-	0x1055a520,0x105a65a0	0x10606410,0x106175d0	-
70	0x46	YES	-	0x1055a6f0,0x105a6720	0x10606470,0x10617630	-
71	0x47	YES	-	0x1055a8b0,0x105a68a0,0x10879dc0	0x106064d0,0x10617690,0x1087f7d0	-
72	0x48	YES	-	0x1055aaa0,0x105a6a00,0x108e2390	0x10606530,0x106176f0,0x108ee3f0	-
73	0x49	YES	-	0x1055ac40,0x105a6b00,0x1096c0a0	0x10606590,0x10617750,0x1096c7e0	-
74	0x4a	YES	-	0x1055ae40,0x105a6cb0,0x1096c120	0x106065f0,0x106177b0,0x1096c840	-
75	0x4b	YES	-	0x1055af80,0x105a6db0,0x1096c1c0	0x10606650,0x10617810,0x1096c8a0	-
76	0x4c	YES	-	0x1055b120,0x105a6ee0,0x1096c1d0	0x106066b0,0x10617870,0x1096c900	-
77	0x4d	YES	-	0x1055b290,0x105a6fe0,0x1096d110	0x10606710,0x106178d0,0x1096deb0	-
78	0x4e	YES	-	0x1055b430,0x105a73a0,0x1096d3a0	0x10606770,0x10617930,0x1096df10	-
79	0x4f	YES	-	0x1055b5d0,0x105a74a0,0x10e21956	0x106067d0,0x10617990,0x10e2a380	-
80	0x50	YES	-	0x1055b770,0x105a75d0,0x10e21956	0x10606830,0x106179f0,0x10e2a320	-
81	0x51	YES	-	0x105312f0,0x1055b910,0x105a76d0	0x1053e730,0x10606890,0x10617a50	-
82	0x52	YES	-	0x105326b0,0x1055bad0,0x105a7880	0x1053e790,0x106068f0,0x10617ab0	-
83	0x53	YES	-	0x1055bd20,0x105a7a50	0x10606950,0x10617b10	-
84	0x54	YES	-	0x1055bfa0,0x105a7b80,0x10e21956	0x106069b0,0x10617b70,0x10e2a340	-
85	0x55	YES	-	0x1055c120,0x105a7cb0	0x10606a10,0x10617bd0	-
86	0x56	YES	-	0x1055c390,0x105a7db0	0x10606a70,0x10617c30	-
87	0x57	YES	-	0x1055c590,0x105a7ee0	0x10606ad0,0x10617c90	-
88	0x58	YES	-	0x1055c730,0x105a8000	0x10606b30,0x10617cf0	-
89	0x59	YES	-	0x1055c8d0,0x105a8190,0x107e4e40	0x10606b90,0x10617d50,0x107e9440	-
90	0x5a	YES	-	0x1055ca10,0x105a8330,0x107e4e50	0x10606bf0,0x10617db0,0x107e94a0	-
91	0x5b	YES	-	0x1055cbf0,0x105a8570,0x107e4e60	0x10606c50,0x10617e10,0x107e9500	-
92	0x5c	YES	-	0x1055cd60,0x105a86f0,0x107e4e70	0x10606cb0,0x10617e70,0x107e9560	-
93	0x5d	YES	-	0x1055cf20,0x105a8870	0x10606d10,0x10617ed0	-
94	0x5e	YES	-	0x1050b730,0x1055d340,0x105a8970	0x1050dfc0,0x10606d70,0x10617f30	-
95	0x5f	YES	-	0x1055d520,0x105a8a90	0x10606dd0,0x10617f90,0x110af9f0	-
96	0x60	YES	-	0x1055d660,0x105a8b90	0x10606e30,0x10617ff0,0x110af990	-
97	0x61	YES	-	0x1055d7e0,0x105a8cf0	0x10606e90,0x10618050	-
98	0x62	YES	-	0x1055e6c0,0x105a8df0	0x10606ef0,0x106180b0	-
99	0x63	YES	-	0x1055e8d0,0x105a8ef0	0x10606f50,0x10618110	-
100	0x64	YES	-	0x1055eac0,0x105a8ff0,0x108120e0	0x10606fb0,0x10618170,0x10812700	-
101	0x65	YES	-	0x1055ec40,0x105a9180	0x10607010,0x106181d0	-
102	0x66	YES	-	0x1055ee20,0x105a92b0	0x10607070,0x10618230	-
103	0x67	YES	-	0x1055efc0,0x105a93b0	0x106070d0,0x10618290	-
104	0x68	YES	-	0x1055f170,0x105a94b0,0x10855484	0x10607130,0x106182f0,0x10854920	-
105	0x69	YES	-	0x105a95e0	0x10618350	-
106	0x6a	YES	-	0x1055f390,0x105a9710	0x10607190,0x106183b0	-
107	0x6b	YES	-	0x1055f510,0x105a9870	0x106071f0,0x10618410	-
108	0x6c	YES	-	0x1055f690,0x105a99f0	0x10607250,0x10618470	-
109	0x6d	YES	-	0x1055f980,0x105a9b20	0x106072b0,0x106184d0	-
110	0x6e	YES	-	0x10530cb0,0x1055fb20,0x105a9c50,0x1083ceb0,0x108a59e0,0x1095ae30,0x10e21956	0x1053e6d0,0x10607310,0x10618530,0x1083e1d0,0x108ab7d0,0x1095bf30,0x10e2a360	-
111	0x6f	YES	-	0x1055fd60,0x105a9d80,0x108a58e0	0x10607370,0x10618590,0x108ab770	-
112	0x70	YES	-	0x1055fea0,0x105a9eb0,0x1081eb00,0x10925f50	0x106073d0,0x106185f0,0x1081f0f0,0x10928ea0,0x10b5f470	-
113	0x71	YES	-	0x1055ffe0,0x105a9fb0,0x10841170,0x108cf750	0x10607430,0x10618650,0x10849220,0x108d07f0	-
114	0x72	YES	-	0x10560210,0x105aa110	0x10607490,0x106186b0	-
115	0x73	YES	-	0x105603b0,0x105aa240	0x106074f0,0x10618710	-
116	0x74	YES	-	0x10560640,0x105aa370,0x10e21956	0x10607550,0x10618770,0x10e2a3a0	-
117	0x75	YES	-	0x10560890,0x105aa4a0,0x10e21956	0x106075b0,0x106187d0,0x10e2a300	-
