#insnAddr	func	funcName	funcSize	mnemonic	text
100014d0	100013d0	FUN_100013d0	746	LEA	LEA ECX,[EDX + EAX*0x1 + 0x210]
10001938	10001870	FUN_10001870	559	LEA	LEA ECX,[EDI + EAX*0x1 + 0x210]
1001a3f7	1001a370	FUN_1001a370	189	CMP	CMP dword ptr [EDX + 0x210],0x0
1001a403	1001a370	FUN_1001a370	189	MOV	MOV ECX,dword ptr [EAX + 0x210]
1001a40f	1001a370	FUN_1001a370	189	MOV	MOV dword ptr [EDX + 0x210],0x0
1001a4a5	1001a430	FUN_1001a430	464	MOV	MOV EAX,dword ptr [EDX + 0x210]
1001a4f0	1001a430	FUN_1001a430	464	MOV	MOV ECX,dword ptr [EAX + 0x210]
1001a6a6	1001a600	FUN_1001a600	439	MOV	MOV dword ptr [ECX + 0x210],EAX
1001a6de	1001a600	FUN_1001a600	439	MOV	MOV EAX,dword ptr [EDX + 0x210]
1001a830	1001a7c0	FUN_1001a7c0	389	MOV	MOV EAX,dword ptr [EDX + 0x210]
1001a860	1001a7c0	FUN_1001a7c0	389	MOV	MOV ECX,dword ptr [EDX + 0x210]
1002f812	1002f510	FUN_1002f510	6386	MOV	MOV ECX,dword ptr [EAX + 0x210]
1002f82c	1002f510	FUN_1002f510	6386	MOV	MOV EDX,dword ptr [ECX + 0x210]
1002fa0d	1002f510	FUN_1002f510	6386	MOV	MOV EDX,dword ptr [ECX + 0x210]
1002fa27	1002f510	FUN_1002f510	6386	MOV	MOV EAX,dword ptr [EDX + 0x210]
1002fbff	1002f510	FUN_1002f510	6386	MOV	MOV EAX,dword ptr [EDX + 0x210]
1002fc22	1002f510	FUN_1002f510	6386	MOV	MOV ECX,dword ptr [EAX + 0x210]
100300ee	1002f510	FUN_1002f510	6386	MOV	MOV EDX,dword ptr [ECX + 0x210]
10030111	1002f510	FUN_1002f510	6386	MOV	MOV EAX,dword ptr [EDX + 0x210]
10030835	1002f510	FUN_1002f510	6386	MOV	MOV ECX,dword ptr [EAX + 0x210]
10030858	1002f510	FUN_1002f510	6386	MOV	MOV EDX,dword ptr [ECX + 0x210]
100426f3	-	-	0	MOV	MOV EDX,dword ptr [ESP + 0x210]
100df5c3	100df5c0	FUN_100df5c0	533	SUB	SUB ESP,0x210
101209fe	10120540	TlvGuildMemberData_Pack_varint	1304	PUSH	PUSH dword ptr [EDI + 0x210]
10120f1e	10120a60	TlvGuildMemberData_Pack_be	1304	PUSH	PUSH dword ptr [EDI + 0x210]
10121560	-	-	0	LEA	LEA EAX,[EDI + 0x210]
10121b70	-	-	0	LEA	LEA EAX,[EDI + 0x210]
101220ee	10121d40	TlvGuildMemberData_Print	1044	PUSH	PUSH dword ptr [EBX + 0x210]
10122de5	10122dd0	FUN_10122dd0	42	MOV	MOV EAX,0x210
10133233	10132bf0	FUN_10132bf0	3839	PUSH	PUSH 0x210
102a2534	102a2510	FUN_102a2510	157	MOV	MOV byte ptr [ECX + 0x210],0x0
102a2715	102a2620	FUN_102a2620	398	LEA	LEA EDX,[EDI + 0x210]
102a2939	102a2800	FUN_102a2800	456	LEA	LEA EDI,[EBX + 0x210]
102a2b06	102a2a40	TdrText_DumpInstanceAllocResponse	399	ADD	ADD EAX,0x210
103a4b56	103a4ac0	FUN_103a4ac0	162	MOV	MOV dword ptr [ESI + 0x210],0x0
103a4e3f	103a4be0	FUN_103a4be0	627	PUSH	PUSH dword ptr [ESI + 0x210]
103a510e	103a4eb0	FUN_103a4eb0	629	LEA	LEA EAX,[EBX + 0x210]
103a55ab	103a51a0	FUN_103a51a0	1069	PUSH	PUSH dword ptr [ESI + 0x210]
104f6543	104f6420	FUN_104f6420	384	MOV	MOV dword ptr [ESI + 0x210],0x0
10546c7a	10546c50	FUN_10546c50	52	MOVDQU	MOVDQU xmmword ptr [ESI + 0x210],XMM0
1054bce4	105474f0	GameLogicEvent_Dispatch_A_virtualized_	41012	MOV	MOV EAX,0x210
10550684	105474f0	GameLogicEvent_Dispatch_A_virtualized_	41012	MOV	MOV EAX,0x210
105564d3	105564c0	FUN_105564c0	957	MOV	MOV dword ptr [ESP + 0x210],EAX
10556824	105564c0	FUN_105564c0	957	LEA	LEA EDI,[ESP + 0x210]
105578de	105578c0	FUN_105578c0	502	MOV	MOV ESI,dword ptr [EBX + 0x210]
105578e5	105578c0	FUN_105578c0	502	LEA	LEA EDI,[EBX + 0x210]
105578fb	105578c0	FUN_105578c0	502	LEA	LEA EAX,[EBX + 0x210]
10557a92	105578c0	FUN_105578c0	502	LEA	LEA EAX,[EBX + 0x210]
1055d226	1055cf20	FUN_1055cf20	1050	MOV	MOV dword ptr [ESP + 0x210],0x0
10566738	10566480	FUN_10566480	973	MOV	MOV dword ptr [ESP + 0x210],0x0
10589eb3	10589e40	FUN_10589e40	305	MOV	MOV dword ptr [ESP + 0x18],0x210
10589f00	10589e40	FUN_10589e40	305	CMP	CMP dword ptr [EAX],0x210
10596273	10596260	FUN_10596260	985	MOV	MOV dword ptr [ESP + 0x210],EAX
105965d1	10596260	FUN_10596260	985	LEA	LEA EDI,[ESP + 0x210]
105e9c19	105e9bf0	FUN_105e9bf0	55	PUSH	PUSH 0x210
10603058	10603050	FUN_10603050	20	PUSH	PUSH 0x210
1061e0d8	1061e0d0	FUN_1061e0d0	37	LEA	LEA ESI,[ECX + 0x210]
1061e105	1061e100	FUN_1061e100	56	MOV	MOV ESI,dword ptr [ECX + 0x210]
1061e10c	1061e100	FUN_1061e100	56	LEA	LEA EDI,[ECX + 0x210]
1061fb67	1061fb40	FUN_1061fb40	59	PUSH	PUSH 0x210
106427f1	106427e0	FUN_106427e0	61	ADD	ADD ESI,0x210
10656fad	10656c10	FUN_10656c10	16471	LEA	LEA ECX,[ESI + 0x210]
1065eaf3	1065ac70	FUN_1065ac70	16694	LEA	LEA ECX,[ESI + 0x210]
106a4365	106a4360	FUN_106a4360	20	MOV	MOV dword ptr [EBP + 0x8],0x210
108a8a7d	108a8a30	FUN_108a8a30	117	MOV	MOV EAX,dword ptr [ECX + 0x210]
108e4d5f	108e4680	CPetTrainUI::BuildTrainInfoVO	2626	LEA	LEA ECX,[ESP + 0x210]
108f409b	108f3b90	CLevelEntrustUI::BuildEntrustListVO	9713	LEA	LEA EAX,[ESP + 0x210]
108f43a6	108f3b90	CLevelEntrustUI::BuildEntrustListVO	9713	LEA	LEA EAX,[ESP + 0x210]
108f46e0	108f3b90	CLevelEntrustUI::BuildEntrustListVO	9713	LEA	LEA EAX,[ESP + 0x210]
108f4727	108f3b90	CLevelEntrustUI::BuildEntrustListVO	9713	LEA	LEA EAX,[ESP + 0x210]
108f4aa6	108f3b90	CLevelEntrustUI::BuildEntrustListVO	9713	LEA	LEA ECX,[ESP + 0x210]
108f4b7b	108f3b90	CLevelEntrustUI::BuildEntrustListVO	9713	LEA	LEA ECX,[ESP + 0x210]
108f4ef3	108f3b90	CLevelEntrustUI::BuildEntrustListVO	9713	LEA	LEA EAX,[ESP + 0x210]
108f4efa	108f3b90	CLevelEntrustUI::BuildEntrustListVO	9713	MOV	MOV byte ptr [ESP + 0x210],0x0
108f52c9	108f3b90	CLevelEntrustUI::BuildEntrustListVO	9713	LEA	LEA ECX,[ESP + 0x210]
108f53a7	108f3b90	CLevelEntrustUI::BuildEntrustListVO	9713	LEA	LEA EAX,[ESP + 0x210]
108f53ae	108f3b90	CLevelEntrustUI::BuildEntrustListVO	9713	MOV	MOV byte ptr [ESP + 0x210],0x0
108f58ec	108f3b90	CLevelEntrustUI::BuildEntrustListVO	9713	LEA	LEA EAX,[ESP + 0x210]
108f58f3	108f3b90	CLevelEntrustUI::BuildEntrustListVO	9713	MOV	MOV byte ptr [ESP + 0x210],0x0
108f5933	108f3b90	CLevelEntrustUI::BuildEntrustListVO	9713	LEA	LEA ECX,[ESP + 0x210]
108f5f37	108f3b90	CLevelEntrustUI::BuildEntrustListVO	9713	LEA	LEA ECX,[ESP + 0x210]
108f5f3e	108f3b90	CLevelEntrustUI::BuildEntrustListVO	9713	MOV	MOV byte ptr [ESP + 0x210],0x0
10982fb6	10982f00	FUN_10982f00	353	PUSH	PUSH 0x210
109ee5b3	109edfd0	LegendPearlModel::BuildUpgradeInfo	2721	LEA	LEA EAX,[ESP + 0x210]
109f8086	109f7eb0	BuildHunterTeamBattleShipVO	961	MOV	MOV EAX,dword ptr [EAX + 0x210]
10a1f6f3	10a1f6f0	FUN_10a1f6f0	205	SUB	SUB ESP,0x210
10a67527	10a672e0	FUN_10a672e0	746	MOV	MOV dword ptr [EDX + 0x210],EAX
10a6f57c	10a6f4d0	FUN_10a6f4d0	193	MOV	MOV dword ptr [ECX + 0x210],0x0
10a6fc78	10a6fb20	FUN_10a6fb20	389	MOV	MOV dword ptr [ESI + 0x210],0x0
10b482f5	10b482b0	FUN_10b482b0	743	MOV	MOV EAX,dword ptr [EAX + 0x210]
10b67926	10b67890	FUN_10b67890	184	MOV	MOV ESI,dword ptr [EAX + 0x210]
10b7aeb3	10b7aeb0	FUN_10b7aeb0	238	SUB	SUB ESP,0x210
10b9330b	10b931b0	FUN_10b931b0	829	MOV	MOV AL,byte ptr [EDI + 0x210]
10b950a7	10b94ee0	FUN_10b94ee0	530	MOV	MOV dword ptr [ESI + 0x210],0x0
10bb7669	10bb59b0	FUN_10bb59b0	11039	MOV	MOV EDX,dword ptr [ESI + 0x210]
10bc12ac	10bc0de0	PlayerInput::BindActionHandlers	11675	MOV	MOV dword ptr [ESI + 0x210],0x0
10bc2e4a	10bc0de0	PlayerInput::BindActionHandlers	11675	LEA	LEA ECX,[ESI + 0x210]
