#opcode	name	dir	nFuncs	funcAddrs(<=3)
2080	S2C_CMD_ITEM_ROSE_FLOWER_NTF	S2C	8	1005dda0:FUN_1005dda0 | 1063c8d0:FUN_1063c8d0 | 10645860:FUN_10645860
2081	S2C_CMD_ITEM_FIREWORKS_USE_NTF	S2C	5	1063c940:FUN_1063c940 | 106cd090:FUN_106cd090 | 11157500:FUN_11157500
3585	C2S_CMD_TASK_ACCEPTTASK	C2S	10	10422940:FUN_10422940 | 10428320:FUN_10428320 | 10431bb0:FUN_10431bb0
3586	C2S_CMD_TASK_ACCEPTTASK2	C2S	6	10629310:FUN_10629310 | 1065ede0:FUN_1065ede0 | 106b18d0:FUN_106b18d0
3587	C2S_CMD_TASK_GIVEUPTASK	C2S	7	101c01b0:FUN_101c01b0 | 101e0ea0:Tlv_WriteLargeStruct_Unknown_101e0ea0 | 10629380:FUN_10629380
3588	C2S_CMD_TASK_SUBMITTASK	C2S	5	106293f0:FUN_106293f0 | 106b1a10:FUN_106b1a10 | 11159730:FUN_11159730
3589	C2S_CMD_TASK_SUBMITTASK2	C2S	5	10629460:FUN_10629460 | 106b1ab0:FUN_106b1ab0 | 111597b0:FUN_111597b0
3590	C2S_CMD_TASK_TRACETASK	C2S	5	106294d0:FUN_106294d0 | 106b1b50:FUN_106b1b50 | 11159830:FUN_11159830
3591	C2S_CMD_TASK_SHARETASK	C2S	6	1003b330:FUN_1003b330 | 10629540:FUN_10629540 | 106b1bf0:FUN_106b1bf0
3593	C2S_CMD_TASK_SYNCDAILY	C2S	5	106295b0:FUN_106295b0 | 106b1c90:FUN_106b1c90 | 11159920:FUN_11159920
3600	C2S_CMD_TASK_REFRESHDAILY	C2S	17	100e97c0:FUN_100e97c0 | 100e9eb0:FUN_100e9eb0 | 101bb0f0:FUN_101bb0f0
3601	C2S_CMD_TASK_REFRESHSCHEDULE	C2S	6	10629690:FUN_10629690 | 106b1dd0:FUN_106b1dd0 | 108d3cf0:FUN_108d3cf0
3602	C2S_CMD_TASK_REFRESHXDAILY	C2S	6	10629700:FUN_10629700 | 106b1e70:FUN_106b1e70 | 11159a70:FUN_11159a70
3665	S2C_CMD_TASK_ACCEPTTASK	S2C	5	10629770:FUN_10629770 | 106b1f10:FUN_106b1f10 | 11159ae0:FUN_11159ae0
3666	S2C_CMD_TASK_GIVEUPTASK	S2C	9	101b2880:FUN_101b2880 | 101c01b0:FUN_101c01b0 | 101d7ba0:TlvCharBattleAttributes_Pack_FixedBE
3667	S2C_CMD_TASK_SUBMITTASK	S2C	5	10629850:FUN_10629850 | 106b2050:FUN_106b2050 | 11159bd0:FUN_11159bd0
3668	S2C_CMD_TASK_SHARETASK	S2C	5	106298c0:FUN_106298c0 | 106b20f0:FUN_106b20f0 | 11159c50:FUN_11159c50
3669	S2C_CMD_TASK_ERR	S2C	5	10629930:FUN_10629930 | 106b2190:FUN_106b2190 | 11159ce0:FUN_11159ce0
3670	S2C_CMD_TASK_EXEC	S2C	38	106299a0:FUN_106299a0 | 106b2230:FUN_106b2230 | 11159d60:FUN_11159d60
