#dispatcher	dispSize	nCases	avgTgtSize	tinyTgtFrac	sampleTargets(addr:size:name)
10006a70	126	6	176	0.17	1000e8b0:132:FUN_1000e8b0 | 1000e740:353:FUN_1000e740 | 1000f250:160:FUN_1000f250 | 1000f2f0:167:FUN_1000f2f0 | 1000f3a0:189:FUN_1000f3a0 | 1000ece0:52:FUN_1000ece0
100858f0	352	12	253	0.25	10082150:53:FUN_10082150 | 100809b0:694:FUN_100809b0 | 10082ce0:178:FUN_10082ce0 | 10083310:487:FUN_10083310 | 10082110:57:FUN_10082110 | 10082190:135:FUN_10082190 | 10080840:193:FUN_10080840 | 10083cb0:91:FUN_10083cb0
1025cb50	102	9	40	1.00	1025dfb0:43:FUN_1025dfb0 | 1025dec0:43:FUN_1025dec0 | 11316b50:14:FUN_11316b50 | 1025def0:43:FUN_1025def0 | 1025df20:43:FUN_1025df20 | 1025df50:43:FUN_1025df50 | 1025df80:43:FUN_1025df80 | 1025dfe0:43:FUN_1025dfe0
1025f590	144	8	43	1.00	102602c0:43:FUN_102602c0 | 1025fdd0:43:FUN_1025fdd0 | 10260200:43:FUN_10260200 | 10260230:43:FUN_10260230 | 10260260:43:FUN_10260260 | 10260290:43:FUN_10260290 | 102602f0:43:FUN_102602f0 | 10260320:43:FUN_10260320
10422940	4027	540	64	0.85	102de6c0:102:FUN_102de6c0 | 102df680:92:FUN_102df680 | 102dfb70:32:FUN_102dfb70 | 102e0250:79:FUN_102e0250 | 102a6cf0:83:FUN_102a6cf0 | 102a7640:20:FUN_102a7640 | 102a71a0:104:FUN_102a71a0 | 102a62b0:58:FUN_102a62b0
10428320	5337	1109	108	0.63	10277810:38:FUN_10277810 | 10279610:103:FUN_10279610 | 1027a490:38:FUN_1027a490 | 1027a790:58:FUN_1027a790 | 1027aac0:127:FUN_1027aac0 | 1027af10:58:FUN_1027af10 | 1027cec0:38:FUN_1027cec0 | 1029d2f0:38:FUN_1029d2f0
10431bb0	5337	1227	119	0.62	102778a0:37:FUN_102778a0 | 102796d0:100:FUN_102796d0 | 10279ef0:413:FUN_10279ef0 | 1027a520:37:FUN_1027a520 | 1027a840:58:FUN_1027a840 | 1027ab90:215:FUN_1027ab90 | 1027afc0:58:FUN_1027afc0 | 1027cf50:37:FUN_1027cf50
1046e370	209	7	67	1.00	1046c360:17:FUN_1046c360 | 11317f30:13:FUN_11317f30 | 1025e530:94:FUN_1025e530 | 1025e660:90:FUN_1025e660 | 104724b0:78:FUN_104724b0 | 1025e590:90:FUN_1025e590 | 1025e4d0:90:FUN_1025e4d0
1065ede0	3972	1209	59	1.00	1061c520:41:FUN_1061c520 | 1061c580:43:FUN_1061c580 | 1061c5e0:43:FUN_1061c5e0 | 1061c640:43:FUN_1061c640 | 1061c6a0:43:FUN_1061c6a0 | 1061c700:43:FUN_1061c700 | 1061c760:43:FUN_1061c760 | 1061c7c0:43:FUN_1061c7c0
109db010	730	7	67	0.57	109d4570:109:FUN_109d4570 | 11a89daa:15:FUN_11a89daa | 10a19840:44:FUN_10a19840 | 107e1b00:25:FUN_107e1b00 | 109d8f20:100:FUN_109d8f20 | 114e00a0:15:FUN_114e00a0 | 107ca5b0:158:FUN_107ca5b0
10a49410	390	9	42	1.00	10a48b00:43:FUN_10a48b00 | 10a48bc0:43:FUN_10a48bc0 | 10a48bf0:43:FUN_10a48bf0 | 10a48b60:43:FUN_10a48b60 | 10a48c20:43:FUN_10a48c20 | 10a48b30:43:FUN_10a48b30 | 10a48ad0:43:FUN_10a48ad0 | 10a9b6c0:35:FUN_10a9b6c0
10a49670	145	9	41	1.00	10a48c80:43:FUN_10a48c80 | 10a9b650:29:FUN_10a9b650 | 10a48d70:43:FUN_10a48d70 | 10a48ce0:43:FUN_10a48ce0 | 10a48da0:43:FUN_10a48da0 | 10a48cb0:43:FUN_10a48cb0 | 10a48c50:43:FUN_10a48c50 | 10a48d40:43:FUN_10a48d40
10ba8b60	646	6	188	0.67	1025bd00:56:FUN_1025bd00 | 113168d0:53:FUN_113168d0 | 10b372f0:439:FUN_10b372f0 | 1025bcc0:64:FUN_1025bcc0 | 1025be30:67:FUN_1025be30 | 10ba9f60:447:FUN_10ba9f60
10c43da0	212	7	50	1.00	10c43fc0:35:FUN_10c43fc0 | 10c44030:49:FUN_10c44030 | 10c440a0:44:FUN_10c440a0 | 10c44110:63:FUN_10c44110 | 10c43ff0:49:FUN_10c43ff0 | 10c44070:44:FUN_10c44070 | 10c440d0:63:FUN_10c440d0
10c44150	212	7	50	1.00	10c44370:35:FUN_10c44370 | 10c443e0:47:FUN_10c443e0 | 10c44440:44:FUN_10c44440 | 10c444b0:63:FUN_10c444b0 | 10c443a0:51:FUN_10c443a0 | 10c44410:44:FUN_10c44410 | 10c44470:63:FUN_10c44470
