#opcode_dec	opcode_hex	name	direction	group
162	0xa2	C2S_CMD_LOCALBAT_OP_REQ	C2S	CHARACTER
163	0xa3	S2C_CMD_LOCALBAT_OP_RSP	S2C	CHARACTER
174	0xae	S2C_CMD_NOTIFY	S2C	CHARACTER
175	0xaf	S2C_CMD_ERR	S2C	CHARACTER
2080	0x820	S2C_CMD_ITEM_ROSE_FLOWER_NTF	S2C	ITEM
2081	0x821	S2C_CMD_ITEM_FIREWORKS_USE_NTF	S2C	ITEM
3585	0xe01	C2S_CMD_TASK_ACCEPTTASK	C2S	TASK
3586	0xe02	C2S_CMD_TASK_ACCEPTTASK2	C2S	TASK
3587	0xe03	C2S_CMD_TASK_GIVEUPTASK	C2S	TASK
3588	0xe04	C2S_CMD_TASK_SUBMITTASK	C2S	TASK
3589	0xe05	C2S_CMD_TASK_SUBMITTASK2	C2S	TASK
3590	0xe06	C2S_CMD_TASK_TRACETASK	C2S	TASK
3591	0xe07	C2S_CMD_TASK_SHARETASK	C2S	TASK
3593	0xe09	C2S_CMD_TASK_SYNCDAILY	C2S	TASK
3600	0xe10	C2S_CMD_TASK_REFRESHDAILY	C2S	TASK
3601	0xe11	C2S_CMD_TASK_REFRESHSCHEDULE	C2S	TASK
3602	0xe12	C2S_CMD_TASK_REFRESHXDAILY	C2S	TASK
3665	0xe51	S2C_CMD_TASK_ACCEPTTASK	S2C	TASK
3666	0xe52	S2C_CMD_TASK_GIVEUPTASK	S2C	TASK
3667	0xe53	S2C_CMD_TASK_SUBMITTASK	S2C	TASK
3668	0xe54	S2C_CMD_TASK_SHARETASK	S2C	TASK
3669	0xe55	S2C_CMD_TASK_ERR	S2C	TASK
3670	0xe56	S2C_CMD_TASK_EXEC	S2C	TASK
3671	0xe57	S2C_CMD_TASK_EXEC2	S2C	TASK
3672	0xe58	S2C_CMD_TASK_SETSTATE	S2C	TASK
3673	0xe59	S2C_CMD_TASK_SYNCDAILY	S2C	TASK
3680	0xe60	S2C_CMD_TASK_REFRESHDAILY	S2C	TASK
3681	0xe61	S2C_CMD_TASK_RESETDAILY	S2C	TASK
3682	0xe62	S2C_CMD_TASK_REFRESHSCHEDULE	S2C	TASK
3683	0xe63	S2C_CMD_TASK_RESETSCHEDULE	S2C	TASK
3684	0xe64	S2C_CMD_TASK_REFRESHXDAILY	S2C	TASK
3685	0xe65	S2C_CMD_TASK_RESETXDAILY	S2C	TASK
3686	0xe66	S2C_CMD_TASK_RESETTASK	S2C	TASK
4002	0xfa2	S2C_CMD_SHOP_ERR	S2C	NPCSHOP
4003	0xfa3	S2C_CMD_SHOP_REFRESHSHOP	S2C	NPCSHOP
4004	0xfa4	C2S_CMD_SHOP_REFRESHSHOPS	C2S	NPCSHOP
4005	0xfa5	S2C_CMD_SHOP_MANUALRESETSHOP	S2C	NPCSHOP
4006	0xfa6	C2S_CMD_SHOP_MANUALRESETSHOP	C2S	NPCSHOP
4007	0xfa7	S2C_CMD_SHOP_COMMODITYUPDATE	S2C	NPCSHOP
5668	0x1624	S2C_CMD_FRIEND_ERR	S2C	FRIEND
5669	0x1625	S2C_CMD_FRIEND_NOTIFY	S2C	FRIEND
5670	0x1626	C2S_CMD_FRIEND_ACCEPTFRIENDAPPLY	C2S	FRIEND
5671	0x1627	C2S_CMD_FRIEND_JEJECTFRIENDAPPLY	C2S	FRIEND
5672	0x1628	S2C_CMD_FRIEND_SVRSUPDATE	S2C	FRIEND
5931	0x172b	C2S_CMD_PET_RNG	C2S	PET
5932	0x172c	S2C_CMD_PET_RNG	S2C	PET
5937	0x1731	C2S_CMD_PET_UNLOCK_SKILL_SLOT	C2S	PET
5938	0x1732	S2C_CMD_PET_UNLOCK_SKILL_SLOT	S2C	PET
6665	0x1a09	C2S_CMD_HUNTER_STAR_TRACK_CARD	C2S	HUNTER_STAR
6672	0x1a10	S2C_CMD_HUNTER_STAR_TRACK_CARD	S2C	HUNTER_STAR
6673	0x1a11	S2C_CMD_HUNTER_STAR_REFRESH_STAT	S2C	HUNTER_STAR
6674	0x1a12	C2S_CMD_ACHEIVE_FETCHREWARD	C2S	HUNTER_STAR
6957	0x1b2d	S2C_CMD_MAIL_ERR	S2C	MAIL
6959	0x1b2f	S2C_CMD_MAIL_NOTIFY	S2C	MAIL
8448	0x2100	C2S_CMD_GUILD_CHECKGUILD	C2S	GUILD
8449	0x2101	C2S_CMD_GUILD_CREATEGUILD	C2S	GUILD
8450	0x2102	C2S_CMD_GUILD_DISMISSGUILD	C2S	GUILD
8451	0x2103	C2S_CMD_GUILD_GETGUILDS	C2S	GUILD
8452	0x2104	C2S_CMD_GUILD_FINDGUILDS	C2S	GUILD
8453	0x2105	C2S_CMD_GUILD_APPLYGUILD	C2S	GUILD
8454	0x2106	C2S_CMD_GUILD_GETGUILDAPPLYS	C2S	GUILD
8455	0x2107	C2S_CMD_GUILD_ACCEPTGUILDAPPLY	C2S	GUILD
8456	0x2108	C2S_CMD_GUILD_JEJECTGUILDAPPLY	C2S	GUILD
8457	0x2109	C2S_CMD_GUILD_INVITEGUILD	C2S	GUILD
8464	0x2110	C2S_CMD_GUILD_GETGUILDINVITATIONS	C2S	GUILD
8465	0x2111	C2S_CMD_GUILD_ACCEPTGUILDINVITATION	C2S	GUILD
8466	0x2112	C2S_CMD_GUILD_JEJECTGUILDINVITATION	C2S	GUILD
8467	0x2113	C2S_CMD_GUILD_QUITGUILD	C2S	GUILD
8468	0x2114	C2S_CMD_GUILD_KICKGUILDER	C2S	GUILD
8469	0x2115	C2S_CMD_GUILD_ALTERLEADER	C2S	GUILD
8470	0x2116	C2S_CMD_GUILD_GUILDERNOTESETTING	C2S	GUILD
8471	0x2117	C2S_CMD_GUILD_NOTESETTING	C2S	GUILD
8472	0x2118	C2S_CMD_GUILD_ICONSETTING	C2S	GUILD
8473	0x2119	C2S_CMD_GUILD_LEVELUP	C2S	GUILD
8480	0x2120	C2S_CMD_GUILD_TAKEWAGE	C2S	GUILD
8481	0x2121	C2S_CMD_GUILD_GETGUILDHANDLE	C2S	GUILD
8482	0x2122	C2S_CMD_GUILD_GETGUILDDETAIL	C2S	GUILD
8483	0x2123	C2S_CMD_GUILD_GETGUILDTITLES	C2S	GUILD
8484	0x2124	C2S_CMD_GUILD_GETLEADER	C2S	GUILD
8485	0x2125	C2S_CMD_GUILD_GETSELF	C2S	GUILD
8486	0x2126	C2S_CMD_GUILD_GETGUILDERDETAIL	C2S	GUILD
8487	0x2127	C2S_CMD_GUILD_GETGUILDALL	C2S	GUILD
8488	0x2128	C2S_CMD_GUILD_GETGUILDER	C2S	GUILD
8489	0x2129	C2S_CMD_GUILD_GETGUILDERSCOUNT	C2S	GUILD
8496	0x2130	C2S_CMD_GUILD_GETGUILDERS	C2S	GUILD
8497	0x2131	C2S_CMD_GUILD_TITLESETTING	C2S	GUILD
8498	0x2132	C2S_CMD_GUILD_RESETTITLE	C2S	GUILD
8499	0x2133	C2S_CMD_GUILD_RIGHTSETTING	C2S	GUILD
8500	0x2134	C2S_CMD_GUILD_RESETRIGHT	C2S	GUILD
8501	0x2135	C2S_CMD_GUILD_ASCENDTITLE	C2S	GUILD
8502	0x2136	C2S_CMD_GUILD_DESCENDTITLE	C2S	GUILD
8503	0x2137	C2S_CMD_GUILD_ENTERCAMP	C2S	GUILD
8504	0x2138	C2S_CMD_GUILD_LEAVECAMP	C2S	GUILD
8505	0x2139	C2S_CMD_GUILD_GETLEARNEDSKILLS	C2S	GUILD
8506	0x213a	C2S_CMD_GUILD_GETCANDIDATESKILLS	C2S	GUILD
8507	0x213b	C2S_CMD_GUILD_LEARNSKILL	C2S	GUILD
8508	0x213c	C2S_CMD_GUILD_SORT_ITEM_REQ	C2S	GUILD
8509	0x213d	C2S_CMD_GUILD_MODIFYCOLUMNNAME	C2S	GUILD
8510	0x213e	C2S_CMD_GUILD_OPERATE_ITEM_REQ	C2S	GUILD
8511	0x213f	C2S_CMD_GUILD_DEPOTRIGHTSETTING	C2S	GUILD
8512	0x2140	C2S_CMD_GUILD_RESETDEPOTRIGHT	C2S	GUILD
8513	0x2141	C2S_CMD_GUILD_IMPEACHLEADER	C2S	GUILD
8514	0x2142	C2S_CMD_GUILD_SELECTQUESTPRIZE	C2S	GUILD
8515	0x2143	C2S_CMD_GUILD_MODIFYNAME	C2S	GUILD
8516	0x2144	C2S_CMD_GUILD_QUERYGUILD	C2S	GUILD
8529	0x2151	S2C_CMD_GUILD_ERR	S2C	GUILD
8530	0x2152	S2C_CMD_GUILD_NOTIFY	S2C	GUILD
8531	0x2153	S2C_CMD_GUILD_GETGUILDS	S2C	GUILD
8532	0x2154	S2C_CMD_GUILD_FINDGUILDS	S2C	GUILD
8533	0x2155	S2C_CMD_GUILD_GETGUILDAPPLYS	S2C	GUILD
8534	0x2156	S2C_CMD_GUILD_GETGUILDINVITATIONS	S2C	GUILD
8535	0x2157	S2C_CMD_GUILD_GETGUILDDETAIL	S2C	GUILD
8536	0x2158	S2C_CMD_GUILD_GETGUILDTITLES	S2C	GUILD
8537	0x2159	S2C_CMD_GUILD_GETLEADER	S2C	GUILD
8544	0x2160	S2C_CMD_GUILD_GETSELF	S2C	GUILD
8545	0x2161	S2C_CMD_GUILD_GETGUILDERDETAIL	S2C	GUILD
8546	0x2162	S2C_CMD_GUILD_CLEARGUILDERDETAIL	S2C	GUILD
8547	0x2163	S2C_CMD_GUILD_GETGUILDER	S2C	GUILD
8548	0x2164	S2C_CMD_GUILD_GETGUILDERSCOUNT	S2C	GUILD
8549	0x2165	S2C_CMD_GUILD_GETGUILDERS	S2C	GUILD
8550	0x2166	S2C_CMD_GUILD_RESETTASK	S2C	GUILD
8551	0x2167	S2C_CMD_GUILD_REFRESHTASK	S2C	GUILD
8552	0x2168	S2C_CMD_GUILD_ACCEPTTASKS	S2C	GUILD
8553	0x2169	S2C_CMD_GUILD_SUBMITTASK	S2C	GUILD
8554	0x216a	S2C_CMD_GUILD_EXECTASK	S2C	GUILD
8555	0x216b	S2C_CMD_GUILD_GETTASKS	S2C	GUILD
8556	0x216c	S2C_CMD_GUILD_GETLEARNEDSKILLS	S2C	GUILD
8557	0x216d	S2C_CMD_GUILD_GETCANDIDATESKILLS	S2C	GUILD
8558	0x216e	S2C_CMD_GUILD_ADD_ITEM_NTF	S2C	GUILD
8559	0x216f	S2C_CMD_GUILD_UPDATE_ITEM_NTF	S2C	GUILD
8560	0x2170	S2C_CMD_GUILD_DEL_ITEM_NTF	S2C	GUILD
8561	0x2171	S2C_CMD_GUILD_MOVE_ITEM_NTF	S2C	GUILD
8562	0x2172	S2C_CMD_GUILD_SWAP_ITEM_NTF	S2C	GUILD
8563	0x2173	S2C_CMD_GUILD_SORT_ITEM_NTF	S2C	GUILD
8564	0x2174	S2C_CMD_GUILD_GETDEPOT	S2C	GUILD
8565	0x2175	S2C_CMD_GUILD_GETRANDCOMMODITIES	S2C	GUILD
8566	0x2176	S2C_CMD_GUILD_GETQUEST	S2C	GUILD
8567	0x2177	S2C_CMD_GUILD_QUERYGUILD	S2C	GUILD
9217	0x2401	C2S_CMD_TALK_EXEC	C2S	TALK
9218	0x2402	C2S_CMD_TALK_END	C2S	TALK
9297	0x2451	S2C_CMD_TALK_ERR	S2C	TALK
9298	0x2452	S2C_CMD_TALK_EXEC	S2C	TALK
10241	0x2801	C2S_CMD_ACTIVITY_FETCH_AWARD	C2S	ACTIVITY
10242	0x2802	C2S_CMD_ACTIVITY_WILDHUNTAPPLY	C2S	ACTIVITY
10243	0x2803	C2S_CMD_ACTIVITY_ADDSECRETQUEST	C2S	ACTIVITY
10244	0x2804	C2S_CMD_ACTIVITY_RESETWILDHUNTTASKS	C2S	ACTIVITY
10245	0x2805	C2S_CMD_ACTIVITY_MONOLOPY_DICE	C2S	ACTIVITY
10246	0x2806	C2S_CMD_ACTIVITY_MONOLOPY_FIXEDDICE	C2S	ACTIVITY
10247	0x2807	C2S_CMD_ACTIVITY_MONOLOPY_PAYFORBLOCK	C2S	ACTIVITY
10248	0x2808	C2S_CMD_ACTIVITY_WILDHUNT_FETCHTASKCOUNT	C2S	ACTIVITY
10259	0x2813	S2C_CMD_ACTIVITY_FETCH_AWARD	S2C	ACTIVITY
10260	0x2814	S2C_CMD_ACTIVITY_AWARD_NTF	S2C	ACTIVITY
10261	0x2815	S2C_CMD_ACTIVITY_ERR	S2C	ACTIVITY
10262	0x2816	S2C_CMD_ACTIVITY_AWARD_REFRESH	S2C	ACTIVITY
10263	0x2817	S2C_CMD_ACTIVITY_ADD_ONLINETIME	S2C	ACTIVITY
10264	0x2818	S2C_CMD_ACTIVITY_WILDHUNTAPPLY	S2C	ACTIVITY
10265	0x2819	C2S_CMD_ACTIVITY_GETWILDHUNT_REQ	C2S	ACTIVITY
