#module	rmiName	direction	class	method	handlerAddr	handlerOldName	renamed
CryGame.dll	RMI:CActor:SvRequestDropItem	C2S	CActor	SvRequestDropItem	10a4d540	RMI_CActor_SvRequestDropItem	no
CryGame.dll	RMI:CActor:SvRequestPickUpItem	C2S	CActor	SvRequestPickUpItem	10a4d650	RMI_CActor_SvRequestPickUpItem	no
CryGame.dll	RMI:CActor:SvRequestUseItem	C2S	CActor	SvRequestUseItem	10a4d700	RMI_CActor_SvRequestUseItem	no
CryGame.dll	RMI:CActor:ClSetSpectatorMode	S2C	CActor	ClSetSpectatorMode	10a4dba0	RMI_CActor_ClSetSpectatorMode	no
CryGame.dll	RMI:CActor:ClSetSpectatorHealth	S2C	CActor	ClSetSpectatorHealth	10a4dc70	RMI_CActor_ClSetSpectatorHealth	no
CryGame.dll	RMI:CActor:ClRevive	S2C	CActor	ClRevive	10a4dd20	RMI_CActor_ClRevive	no
CryGame.dll	RMI:CActor:ClReviveInVehicle	S2C	CActor	ClReviveInVehicle	10a4de60	RMI_CActor_ClReviveInVehicle	no
CryGame.dll	RMI:CActor:ClKill	S2C	CActor	ClKill	10a4dfe0	RMI_CActor_ClKill	no
CryGame.dll	RMI:CActor:ClSimpleKill	S2C	CActor	ClSimpleKill	10a4df50	RMI_CActor_ClSimpleKill	no
CryGame.dll	RMI:CActor:ClMoveTo	S2C	CActor	ClMoveTo	10a4e0b0	RMI_CActor_ClMoveTo	no
CryGame.dll	RMI:CActor:ClSetAmmo	S2C	CActor	ClSetAmmo	10a4e1d0	RMI_CActor_ClSetAmmo	no
CryGame.dll	RMI:CActor:ClAddAmmo	S2C	CActor	ClAddAmmo	10a4e2a0	RMI_CActor_ClAddAmmo	no
CryGame.dll	RMI:CActor:ClPickUp	S2C	CActor	ClPickUp	10a4d7b0	RMI_CActor_ClPickUp	no
CryGame.dll	RMI:CActor:ClClearInventory	S2C	CActor	ClClearInventory	10a4d8a0	RMI_CActor_ClClearInventory	no
CryGame.dll	RMI:CActor:ClDrop	S2C	CActor	ClDrop	10a4d930	RMI_CActor_ClDrop	no
CryGame.dll	RMI:CActor:ClStartUse	S2C	CActor	ClStartUse	10a4da40	RMI_CActor_ClStartUse	no
CryGame.dll	RMI:CActor:ClStopUse	S2C	CActor	ClStopUse	10a4daf0	RMI_CActor_ClStopUse	no
CryGame.dll	RMI:CC4:ClSetProjectileId	S2C	CC4	ClSetProjectileId	10b38950	RMI_CC4_ClSetProjectileId	no
CryGame.dll	RMI:CC4:SvRequestTime	C2S	CC4	SvRequestTime	10b38a20	RMI_CC4_SvRequestTime	no
CryGame.dll	RMI:CC4Projectile:ClSetPosition	S2C	CC4Projectile	ClSetPosition	10b3add0	RMI_CC4Projectile_ClSetPosition	no
CryGame.dll	RMI:CC4Projectile:ClStickToEntity	S2C	CC4Projectile	ClStickToEntity	10b3af10	RMI_CC4Projectile_ClStickToEntity	no
CryGame.dll	RMI:CGameRules:SvRequestRename	C2S	CGameRules	SvRequestRename	10c282c0	RMI_CGameRules_SvRequestRename	no
CryGame.dll	RMI:CGameRules:ClRenameEntity	S2C	CGameRules	ClRenameEntity	10c28390	RMI_CGameRules_ClRenameEntity	no
CryGame.dll	RMI:CGameRules:SvRequestChatMessage	C2S	CGameRules	SvRequestChatMessage	10c27ea0	RMI_CGameRules_SvRequestChatMessage	no
CryGame.dll	RMI:CGameRules:ClChatMessage	S2C	CGameRules	ClChatMessage	10c27f50	RMI_CGameRules_ClChatMessage	no
CryGame.dll	RMI:CGameRules:ClForbiddenAreaWarning	S2C	CGameRules	ClForbiddenAreaWarning	10c29040	RMI_CGameRules_ClForbiddenAreaWarning	no
CryGame.dll	RMI:CGameRules:SvRequestRadioMessage	C2S	CGameRules	SvRequestRadioMessage	10c28000	RMI_CGameRules_SvRequestRadioMessage	no
CryGame.dll	RMI:CGameRules:ClRadioMessage	S2C	CGameRules	ClRadioMessage	10c280a0	RMI_CGameRules_ClRadioMessage	no
CryGame.dll	RMI:CGameRules:SvRequestChangeTeam	C2S	CGameRules	SvRequestChangeTeam	10c28460	RMI_CGameRules_SvRequestChangeTeam	no
CryGame.dll	RMI:CGameRules:SvRequestSpectatorMode	C2S	CGameRules	SvRequestSpectatorMode	10c28530	RMI_CGameRules_SvRequestSpectatorMode	no
CryGame.dll	RMI:CGameRules:ClSetTeam	S2C	CGameRules	ClSetTeam	10c28620	RMI_CGameRules_ClSetTeam	no
CryGame.dll	RMI:CGameRules:ClTextMessage	S2C	CGameRules	ClTextMessage	10c286f0	RMI_CGameRules_ClTextMessage	no
CryGame.dll	RMI:CGameRules:SvRequestSimpleHit	C2S	CGameRules	SvRequestSimpleHit	10c27980	RMI_CGameRules_SvRequestSimpleHit	no
CryGame.dll	RMI:CGameRules:SvRequestHit	C2S	CGameRules	SvRequestHit	10c27a50	RMI_CGameRules_SvRequestHit	no
