#rmiName	direction	class	method	handlerAddr	handlerOldName	renamed
RMI:CActor:SvRequestDropItem	C2S	CActor	SvRequestDropItem	10a4d540	FUN_10a4d540	yes
RMI:CActor:SvRequestPickUpItem	C2S	CActor	SvRequestPickUpItem	10a4d650	FUN_10a4d650	yes
RMI:CActor:SvRequestUseItem	C2S	CActor	SvRequestUseItem	10a4d700	FUN_10a4d700	yes
RMI:CActor:ClSetSpectatorMode	S2C	CActor	ClSetSpectatorMode	10a4dba0	FUN_10a4dba0	yes
RMI:CActor:ClSetSpectatorHealth	S2C	CActor	ClSetSpectatorHealth	10a4dc70	FUN_10a4dc70	yes
RMI:CActor:ClRevive	S2C	CActor	ClRevive	10a4dd20	FUN_10a4dd20	yes
RMI:CActor:ClReviveInVehicle	S2C	CActor	ClReviveInVehicle	10a4de60	FUN_10a4de60	yes
RMI:CActor:ClKill	S2C	CActor	ClKill	10a4dfe0	FUN_10a4dfe0	yes
RMI:CActor:ClSimpleKill	S2C	CActor	ClSimpleKill	10a4df50	FUN_10a4df50	yes
RMI:CActor:ClMoveTo	S2C	CActor	ClMoveTo	10a4e0b0	FUN_10a4e0b0	yes
RMI:CActor:ClSetAmmo	S2C	CActor	ClSetAmmo	10a4e1d0	FUN_10a4e1d0	yes
RMI:CActor:ClAddAmmo	S2C	CActor	ClAddAmmo	10a4e2a0	FUN_10a4e2a0	yes
RMI:CActor:ClPickUp	S2C	CActor	ClPickUp	10a4d7b0	FUN_10a4d7b0	yes
RMI:CActor:ClClearInventory	S2C	CActor	ClClearInventory	10a4d8a0	FUN_10a4d8a0	yes
RMI:CActor:ClDrop	S2C	CActor	ClDrop	10a4d930	FUN_10a4d930	yes
RMI:CActor:ClStartUse	S2C	CActor	ClStartUse	10a4da40	FUN_10a4da40	yes
RMI:CActor:ClStopUse	S2C	CActor	ClStopUse	10a4daf0	FUN_10a4daf0	yes
RMI:CC4:ClSetProjectileId	S2C	CC4	ClSetProjectileId	10b38950	FUN_10b38950	yes
RMI:CC4:SvRequestTime	C2S	CC4	SvRequestTime	10b38a20	FUN_10b38a20	yes
RMI:CC4Projectile:ClSetPosition	S2C	CC4Projectile	ClSetPosition	10b3add0	FUN_10b3add0	yes
